,loss,mape,mae,val_loss,val_mape,val_mae
72,3.6289140552980825e-05,1.4202852249145508,0.004103765357285738,9.505663183517754e-05,0.8352906107902527,0.006517247296869755
73,3.4701071854215115e-05,1.4013445377349854,0.0040098074823617935,6.682385719614103e-05,0.6016595363616943,0.004728773608803749
74,3.5016575566260144e-05,1.4213171005249023,0.004062491934746504,6.557313463417813e-05,0.5893878936767578,0.004632658790796995
75,3.436907354625873e-05,1.4009785652160645,0.00399934034794569,6.887869676575065e-05,0.6147306561470032,0.0048094941303133965
76,3.3628723031142727e-05,1.3800926208496094,0.003933882340788841,6.257962377276272e-05,0.5598926544189453,0.004391140304505825
77,3.468518843874335e-05,1.4027856588363647,0.004015775863081217,6.44909669063054e-05,0.5840628147125244,0.0045700944028794765
78,3.441919034230523e-05,1.3936947584152222,0.003992143552750349,6.177452451083809e-05,0.5602862238883972,0.00439193332567811
79,3.4339987905696034e-05,1.397868275642395,0.00400327006354928,6.925127672730014e-05,0.649559497833252,0.005078598856925964
80,3.3392418117728084e-05,1.3756850957870483,0.003933254163712263,6.871904770378023e-05,0.6487194895744324,0.0050652227364480495
81,3.412805745028891e-05,1.3957349061965942,0.0040064239874482155,5.914812572882511e-05,0.5603270530700684,0.004404555540531874
82,3.3873624488478526e-05,1.3922204971313477,0.0039816563948988914,6.267674325499684e-05,0.6167629361152649,0.004852758254855871
83,3.364874282851815e-05,1.3791759014129639,0.003934330306947231,5.776930265710689e-05,0.5473928451538086,0.004291466437280178
84,3.3438700484111905e-05,1.3849798440933228,0.003948464524000883,6.300867244135588e-05,0.6350845694541931,0.0050084940157830715
85,3.3143187465611845e-05,1.3719892501831055,0.0039184680208563805,5.7157409173669294e-05,0.5468907952308655,0.004284755326807499
86,3.243446190026589e-05,1.3657346963882446,0.0038774353452026844,5.556517862714827e-05,0.5485133528709412,0.004313935991376638
87,3.275809285696596e-05,1.3612492084503174,0.0038868673145771027,5.411671008914709e-05,0.5286222100257874,0.004151523113250732
88,3.2712152460590005e-05,1.3645573854446411,0.0038880074862390757,5.848155342391692e-05,0.5770367980003357,0.00451680738478899
89,3.199604543624446e-05,1.3515337705612183,0.003846157342195511,6.006604962749407e-05,0.6047664284706116,0.004725392442196608
90,3.2164931326406077e-05,1.357662320137024,0.003866631770506501,5.4537333198823035e-05,0.5489889979362488,0.004299444612115622
91,3.23391031997744e-05,1.3598859310150146,0.0038777419831603765,5.278332173475064e-05,0.5321627855300903,0.004170996602624655
92,3.193975499016233e-05,1.346104621887207,0.003834287403151393,5.171666998649016e-05,0.5218050479888916,0.0040929983370006084
93,3.162257416988723e-05,1.3431158065795898,0.0038222961593419313,5.3133007895667106e-05,0.5386258959770203,0.0042185396887362
94,3.1438270525541157e-05,1.3432719707489014,0.0038218239787966013,6.80713274050504e-05,0.7104960083961487,0.005543611478060484
95,3.203853702871129e-05,1.3555896282196045,0.003869649488478899,4.898946644971147e-05,0.506025493144989,0.003972390666604042
96,3.0855917430017143e-05,1.3283944129943848,0.0037657974753528833,5.84180343139451e-05,0.643555760383606,0.005079823546111584
97,3.133211066597141e-05,1.3364523649215698,0.003806023858487606,5.2653602324426174e-05,0.5796003341674805,0.004570058546960354
98,3.120198380202055e-05,1.3351762294769287,0.003798380261287093,4.706640538643114e-05,0.5028960108757019,0.003955875989049673
99,3.1026036594994366e-05,1.3347283601760864,0.00380190322175622,7.552226452389732e-05,0.7795884013175964,0.006073769181966782
100,3.0465993404504843e-05,1.3220218420028687,0.003756496589630842,6.470961670856923e-05,0.6948413848876953,0.005426618270576
101,3.0408318707486615e-05,1.3270056247711182,0.0037580595817416906,4.683982115238905e-05,0.5041765570640564,0.003954624757170677
102,3.0372080800589174e-05,1.3233681917190552,0.003751613199710846,7.869111868785694e-05,0.822868824005127,0.0064201923087239265
103,3.012423258041963e-05,1.3121486902236938,0.0037279673852026463,4.991483365301974e-05,0.5790254473686218,0.004571429453790188
104,3.0387325750780292e-05,1.3233940601348877,0.0037592079024761915,5.0102553359465674e-05,0.5759755969047546,0.004543096758425236
105,2.9621602152474225e-05,1.3102372884750366,0.0037124331574887037,6.60430669086054e-05,0.7169256806373596,0.005591742228716612
106,2.9784541766275652e-05,1.3030412197113037,0.003704294329509139,4.3240859668003395e-05,0.48535361886024475,0.003813924500718713
107,2.92848108074395e-05,1.2941877841949463,0.0036666200030595064,4.260270725353621e-05,0.4861553907394409,0.003825978608801961
108,2.9308035664143972e-05,1.3029173612594604,0.003690240206196904,4.740762960864231e-05,0.5407597422599792,0.004225666634738445
109,2.905016481236089e-05,1.2893027067184448,0.00365494005382061,4.249018820701167e-05,0.48270121216773987,0.0037842118181288242
110,2.9585304218926467e-05,1.3089361190795898,0.0037063900381326675,4.1838800825644284e-05,0.4819399118423462,0.0037849603686481714
111,2.8546837711473927e-05,1.2857743501663208,0.0036368544679135084,4.258071567164734e-05,0.49868184328079224,0.003926553763449192
112,2.883742854464799e-05,1.2876527309417725,0.003646987257525325,4.1431419958826154e-05,0.48175057768821716,0.0037738012615591288
113,2.953291368612554e-05,1.2974270582199097,0.003705523209646344,4.1461767978034914e-05,0.4973877966403961,0.00392023753374815
114,2.899271930800751e-05,1.2980815172195435,0.003678272943943739,4.0149032429326326e-05,0.47137272357940674,0.003696779953315854
115,2.8892498448840342e-05,1.291838526725769,0.0036632127594202757,4.4868433178635314e-05,0.5501849055290222,0.004344250541180372
116,2.845569179044105e-05,1.2768855094909668,0.0036231852136552334,5.5513959523523226e-05,0.6469110250473022,0.0050426870584487915
117,2.8024791390635073e-05,1.2771459817886353,0.003602665616199374,3.940285023418255e-05,0.4751313030719757,0.003742253640666604
118,2.8408154321368784e-05,1.279034972190857,0.003630074905231595,3.867127816192806e-05,0.46283218264579773,0.0036316888872534037
119,2.7710877475328743e-05,1.2628209590911865,0.003566023660823703,5.3896284953225404e-05,0.6365981698036194,0.004964775405824184
120,2.7661066269502044e-05,1.2726795673370361,0.0035775022115558386,3.9147911593317986e-05,0.48793908953666687,0.0038440446369349957
121,2.7740681616705842e-05,1.2725105285644531,0.003593684872612357,3.7682057154597715e-05,0.45709243416786194,0.003590659238398075
122,2.7586062060436234e-05,1.2631702423095703,0.003559068776667118,4.170340616838075e-05,0.5005339980125427,0.003911253064870834
